จังหวัด,ชื่อสถานศึกษา,LATITUDE,LONGITUDE
กรุงเทพมหานคร,จุฬาลงกรณ์มหาวิทยาลัย,13.7387535,100.5299316
กรุงเทพมหานคร,มหาวิทยาลัยเกษตรศาสตร์,13.84705,100.57194
กรุงเทพมหานคร,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,13.84705,100.57194
กรุงเทพมหานคร,มหาวิทยาลัยธรรมศาสตร์,13.757404,100.48999
กรุงเทพมหานคร,มหาวิทยาลัยมหิดล,13.7945827,100.321228
กรุงเทพมหานคร,มหาวิทยาลัยรามคำแหง,13.756207,100.61661
กรุงเทพมหานคร,มหาวิทยาลัยรามคำแหง วิทยาเขตบางนา,13.667771,100.61433
กรุงเทพมหานคร,มหาวิทยาลัยศิลปากร,13.753013,100.49018
กรุงเทพมหานคร,มหาวิทยาลัยศรีนครินทรวิโรฒ,13.7421,100.5658
กรุงเทพมหานคร,สถาบันบัณฑิตพัฒนบริหารศาสตร์,13.771175,100.625302
กรุงเทพมหานคร,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,13.652383,100.49387
กรุงเทพมหานคร,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี วิทยาเขตบางขุนเทียน, -, -
กรุงเทพมหานคร,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,13.818789,100.30517
กรุงเทพมหานคร,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,13.730066,100.7783
กรุงเทพมหานคร,มหาวิทยาลัยศรีปทุม,13.85562,100.5852
กรุงเทพมหานคร,มหาวิทยาลัยหอการค้าไทย,13.7798677,100.560311
กรุงเทพมหานคร,มหาวิทยาลัยเกริก,15.721413,100.05226
กรุงเทพมหานคร,มหาวิทยาลัยเซนต์จอห์น,13.811839,100.56355
กรุงเทพมหานคร,มหาวิทยาลัยเทคโนโลยีมหานคร,13.845017,100.85818
กรุงเทพมหานคร,มหาวิทยาลัยอัสสัมชัญ,13.754994,100.62766
กรุงเทพมหานคร,มหาวิทยาลัยธนบุรี,13.716159,100.34714
กรุงเทพมหานคร,มหาวิทยาลัยธุรกิจบัณฑิตย์,13.870298,100.550769
กรุงเทพมหานคร,มหาวิทยาลัยเอเชียอาคเนย์,13.707463,100.35674
กรุงเทพมหานคร,มหาวิทยาลัยกรุงเทพธนบุรี,13.768469,100.34459
กรุงเทพมหานคร,วิทยาลัยเซนต์หลุยส์,13.71838,100.52565
กรุงเทพมหานคร,มหาวิทยาลัยเซาธ์อีสท์บางกอก,13.67438,100.600624
กรุงเทพมหานคร,วิทยาลัยดุสิตธานี,13.696924,100.64879
กรุงเทพมหานคร,วิทยาลัยทองสุข,13.785702,100.39877
กรุงเทพมหานคร,มหาวิทยาลัยนอร์ทกรุงเทพ,13.893806,100.616075
กรุงเทพมหานคร,มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก วิทยาเขตกรุงเทพฯ,13.87966,100.56133
กรุงเทพมหานคร,สถาบันรัชต์ภาคย์,13.760796,100.603701
กรุงเทพมหานคร,มหาวิทยาลัยรัตนบัณฑิต,13.787136,100.63052
กรุงเทพมหานคร,มหาวิทยาลัยราชภัฏธนบุรี,13.733727,100.49126
กรุงเทพมหานคร,มหาวิทยาลัยราชภัฏพระนคร,13.8768,100.5906
กรุงเทพมหานคร,มหาวิทยาลัยสวนดุสิต,13.776825,100.510747
กรุงเทพมหานคร,มหาวิทยาลัยราชภัฏสวนสุนันทา,13.7759,100.50921
กรุงเทพมหานคร,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,13.733087,100.489487
กรุงเทพมหานคร,มหาวิทยาลัยราชภัฏจันทรเกษม,13.818926,100.577307
กรุงเทพมหานคร,มหาวิทยาลัยเกษมบัณฑิต,13.8037825,100.737208
กรุงเทพมหานคร,มหาวิทยาลัยเกษมบัณฑิต พัฒนาการ,13.7392835,100.624298
กรุงเทพมหานคร,มหาวิทยาลัยสยาม,13.718532,100.452766
กรุงเทพมหานคร,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,14.191564,100.634487
